"Name","Full Name","Visibility","Language","Description","Stars","Forks","Size (KB)","Last Updated","Clone URL","HTML URL","User Permission","Role Name"
"Trigger-GH-Action-Workflow","Demo-workshop-org/Trigger-GH-Action-Workflow","private","JavaScript","","0","0","3","2024-07-23T10:10:31Z","https://github.com/Demo-workshop-org/Trigger-GH-Action-Workflow.git","https://github.com/Demo-workshop-org/Trigger-GH-Action-Workflow","read","Read (GitHub App)"
"pr-approval-composite","Demo-workshop-org/pr-approval-composite","private","","","0","0","11","2024-08-13T06:30:18Z","https://github.com/Demo-workshop-org/pr-approval-composite.git","https://github.com/Demo-workshop-org/pr-approval-composite","read","Read (GitHub App)"
"GHAS-10-10","Demo-workshop-org/GHAS-10-10","private","Java","","0","0","1345","2024-10-10T05:30:50Z","https://github.com/Demo-workshop-org/GHAS-10-10.git","https://github.com/Demo-workshop-org/GHAS-10-10","read","Read (GitHub App)"
"check-and-build-docker-image","Demo-workshop-org/check-and-build-docker-image","private","Dockerfile","","0","0","3","2024-11-18T09:49:45Z","https://github.com/Demo-workshop-org/check-and-build-docker-image.git","https://github.com/Demo-workshop-org/check-and-build-docker-image","read","Read (GitHub App)"
"Repo-Management","Demo-workshop-org/Repo-Management","private","","","0","0","16","2024-12-24T09:15:20Z","https://github.com/Demo-workshop-org/Repo-Management.git","https://github.com/Demo-workshop-org/Repo-Management","read","Read (GitHub App)"
"copilot-workspace","Demo-workshop-org/copilot-workspace","private","","","0","0","6","2025-02-21T18:40:34Z","https://github.com/Demo-workshop-org/copilot-workspace.git","https://github.com/Demo-workshop-org/copilot-workspace","read","Read (GitHub App)"
"Dockerfile-validation","Demo-workshop-org/Dockerfile-validation","private","JavaScript","","0","0","63","2025-01-28T12:39:08Z","https://github.com/Demo-workshop-org/Dockerfile-validation.git","https://github.com/Demo-workshop-org/Dockerfile-validation","read","Read (GitHub App)"
"Myntra-RE_dockins-images","Demo-workshop-org/Myntra-RE_dockins-images","private","","","0","0","0","2025-04-30T10:52:15Z","https://github.com/Demo-workshop-org/Myntra-RE_dockins-images.git","https://github.com/Demo-workshop-org/Myntra-RE_dockins-images","read","Read (GitHub App)"
"Myntra-RE_dockinsapp","Demo-workshop-org/Myntra-RE_dockinsapp","private","JavaScript","","0","0","6752","2025-04-30T11:02:22Z","https://github.com/Demo-workshop-org/Myntra-RE_dockinsapp.git","https://github.com/Demo-workshop-org/Myntra-RE_dockinsapp","read","Read (GitHub App)"
"Myntra-RE_dockinsctl","Demo-workshop-org/Myntra-RE_dockinsctl","private","Go","","0","0","212814","2025-04-30T11:11:20Z","https://github.com/Demo-workshop-org/Myntra-RE_dockinsctl.git","https://github.com/Demo-workshop-org/Myntra-RE_dockinsctl","read","Read (GitHub App)"
"Myntra-RE_shuttle-engine","Demo-workshop-org/Myntra-RE_shuttle-engine","private","Go","","0","0","21692","2025-04-30T11:04:20Z","https://github.com/Demo-workshop-org/Myntra-RE_shuttle-engine.git","https://github.com/Demo-workshop-org/Myntra-RE_shuttle-engine","read","Read (GitHub App)"
"Myntra-RE_shuttle","Demo-workshop-org/Myntra-RE_shuttle","private","JavaScript","","0","0","7890","2025-04-30T11:08:49Z","https://github.com/Demo-workshop-org/Myntra-RE_shuttle.git","https://github.com/Demo-workshop-org/Myntra-RE_shuttle","read","Read (GitHub App)"
"Myntra-RE_shuttlectl","Demo-workshop-org/Myntra-RE_shuttlectl","private","Go","","0","0","5208","2025-04-30T11:04:20Z","https://github.com/Demo-workshop-org/Myntra-RE_shuttlectl.git","https://github.com/Demo-workshop-org/Myntra-RE_shuttlectl","read","Read (GitHub App)"
"Myntra-RE_dockins-infra","Demo-workshop-org/Myntra-RE_dockins-infra","private","Python","","0","0","40914","2025-04-30T11:07:05Z","https://github.com/Demo-workshop-org/Myntra-RE_dockins-infra.git","https://github.com/Demo-workshop-org/Myntra-RE_dockins-infra","read","Read (GitHub App)"
"opsera-migration-repo","Demo-workshop-org/opsera-migration-repo","private","Dockerfile","","0","0","8","2025-05-29T07:01:50Z","https://github.com/Demo-workshop-org/opsera-migration-repo.git","https://github.com/Demo-workshop-org/opsera-migration-repo","read","Read (GitHub App)"
"Dockerfiles-elify","Demo-workshop-org/Dockerfiles-elify","private","Shell","","0","0","4","2025-05-09T12:48:38Z","https://github.com/Demo-workshop-org/Dockerfiles-elify.git","https://github.com/Demo-workshop-org/Dockerfiles-elify","read","Read (GitHub App)"
"demo-dependabot","Demo-workshop-org/demo-dependabot","public","","🤖 Fork me to try out Dependabot ","0","0","27","2025-05-12T10:18:54Z","https://github.com/Demo-workshop-org/demo-dependabot.git","https://github.com/Demo-workshop-org/demo-dependabot","read","Read (GitHub App)"
"sync-repo","Demo-workshop-org/sync-repo","internal","","","0","0","5","2025-05-19T12:47:03Z","https://github.com/Demo-workshop-org/sync-repo.git","https://github.com/Demo-workshop-org/sync-repo","read","Read (GitHub App)"
"dotnet-calculator-app","Demo-workshop-org/dotnet-calculator-app","internal","C#","","0","0","8","2025-05-27T12:17:57Z","https://github.com/Demo-workshop-org/dotnet-calculator-app.git","https://github.com/Demo-workshop-org/dotnet-calculator-app","read","Read (GitHub App)"
"gh-desktop","Demo-workshop-org/gh-desktop","private","","test","0","0","4","2025-06-16T13:12:50Z","https://github.com/Demo-workshop-org/gh-desktop.git","https://github.com/Demo-workshop-org/gh-desktop","read","Read (GitHub App)"
"file-downloader-demo","Demo-workshop-org/file-downloader-demo","internal","","","0","0","2","2025-06-20T10:01:00Z","https://github.com/Demo-workshop-org/file-downloader-demo.git","https://github.com/Demo-workshop-org/file-downloader-demo","read","Read (GitHub App)"
